numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str,Real Label (Invented),Predicted Label,Prediction Probability (Si)
12,5.4,91.47,4,64,False,True,True,False,False,False,False,Secundaria completa,Hombre,LAMBAYEQUE,Selva,Secano,Autoconsumo,Acopiador,No especificado,Si,Si,0.9121264
2,5.5,91.78,23,49,False,False,False,False,False,False,False,Superior no universitaria incompleta,Hombre,HUANUCO,Selva,Aspersion,Otro,Acopiador,Secano,Si,Si,0.89871925
1,1.0,46.24,30,49,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,PIURA,Costa,Gravedad,Venta,Sin ventas,Secano,Si,Si,0.9135242
3,1.25,52.38,32,57,False,False,False,False,False,False,False,Secundaria completa,Hombre,CUSCO,Selva,Secano,Venta,Sin ventas,Gravedad,Si,Si,0.88952863
3,9.5,57.63,20,64,False,False,True,False,False,False,False,Primaria completa,Hombre,AYACUCHO,Selva,Aspersion,Venta,Sin ventas,Gravedad,Si,Si,0.90725297
2,6.0,0.0,21,80,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,PIURA,Sierra,Goteo,Venta,Comerciante minorista,Aspersion,No,Si,0.88436145
11,98.0,100.0,40,76,False,False,False,False,False,False,False,Secundaria incompleta,Hombre,APURIMAC,Costa,Secano,Venta,Acopiador,Secano,Si,Si,0.8939505
2,10.25,88.54,10,56,False,False,True,False,False,False,False,Secundaria completa,Hombre,ANCASH,Costa,Secano,Venta,Comerciante mayorista,Secano,Si,Si,0.8956332
1,6.5,100.0,20,76,False,True,True,False,False,False,False,Primaria completa,Hombre,AMAZONAS,Selva,Secano,Autoconsumo,Empresa/Agroindustria,Gravedad,Si,Si,0.8980887
2,1.6,0.0,8,54,False,False,True,False,False,False,False,Primaria incompleta,Hombre,UCAYALI,Selva,Aspersion,Venta,Asociación/Cooperativa,Gravedad,Si,Si,0.8415608
1,5.07,100.0,13,77,False,False,True,False,False,False,True,Secundaria completa,Hombre,PUNO,Sierra,Gravedad,Venta,Sin ventas,Gravedad,Si,Si,0.90149754
1,100.0,99.05,15,68,False,False,True,True,False,False,False,Superior universitaria completa,Hombre,JUNIN,Costa,Gravedad,Otro,Comerciante mayorista,Secano,Si,Si,0.9108779
7,36.0,2.18,40,55,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,PUNO,Costa,Goteo,Otro,Comerciante minorista,Secano,Si,Si,0.9132286
6,15.0,99.49,15,28,False,False,True,False,False,False,True,Secundaria completa,Hombre,ICA,Costa,Gravedad,Venta,Sin ventas,Goteo,Si,Si,0.91975236
3,31.0,0.0,40,53,False,False,True,False,False,False,False,Primaria completa,Hombre,ICA,Selva,No especificado,Venta,Empresa/Agroindustria,Secano,Si,Si,0.90821
6,11.0,99.97,18,61,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,PUNO,Sierra,Aspersion,Autoconsumo,Consumidor final,Gravedad,Si,Si,0.9158669
3,2.05,100.0,25,50,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,MOQUEGUA,Sierra,Secano,Venta,Comerciante minorista,Gravedad,No,Si,0.910803
4,2.07,0.0,18,50,False,True,True,False,False,False,False,Secundaria completa,Hombre,JUNIN,Selva,Gravedad,Autoconsumo,Acopiador,Goteo,No,Si,0.90560186
6,4.7,97.15,40,56,False,False,True,False,False,False,False,Secundaria completa,Hombre,AMAZONAS,Sierra,Gravedad,Venta,Acopiador,Otro,Si,Si,0.91165054
2,1.0,90.24,20,61,False,False,True,False,False,False,False,Superior no universitaria completa,Hombre,JUNIN,Selva,Secano,Venta,Comerciante mayorista,Secano,Si,Si,0.9077697
2,25.0,0.0,5,39,False,False,True,False,False,False,True,Primaria completa,Hombre,AYACUCHO,Sierra,Secano,Autoconsumo,Sin ventas,Secano,Si,Si,0.9093851
2,6.68,35.21,19,52,False,False,True,False,False,False,True,Primaria incompleta,Hombre,AYACUCHO,Sierra,Goteo,Venta,Comerciante mayorista,No especificado,Si,Si,0.9071325
13,13.0,0.0,10,48,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,LAMBAYEQUE,Costa,Secano,Venta,Acopiador,Gravedad,Si,Si,0.9165128
1,88.0,100.0,16,44,False,False,False,False,False,False,False,Superior universitaria completa,Mujer,LA LIBERTAD,Costa,Gravedad,Venta,Acopiador,Secano,No,Si,0.89992195
7,9.15,81.94,31,62,False,False,True,False,False,False,False,Primaria incompleta,Hombre,PUNO,Costa,No especificado,Venta,Acopiador,Secano,No,Si,0.9146433
2,3.35,92.31,13,52,False,False,True,False,False,False,False,Primaria incompleta,Mujer,AREQUIPA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad,Si,Si,0.9173711
9,7.0,91.99,16,40,False,False,True,False,True,False,True,Secundaria completa,Hombre,MOQUEGUA,Selva,Secano,Venta,Comerciante mayorista,Secano,Si,Si,0.91076785
4,10.7,99.67,23,34,False,False,True,False,False,False,False,Primaria completa,Hombre,ANCASH,Selva,Secano,Venta,Sin ventas,Gravedad,Si,Si,0.89384353
2,0.21,0.0,10,64,False,False,True,True,False,False,False,Secundaria incompleta,Hombre,PIURA,Selva,Secano,Autoconsumo,Acopiador,Goteo,Si,Si,0.90388656
3,200.0,0.0,18,51,False,False,False,False,False,False,False,Primaria completa,Mujer,AMAZONAS,Sierra,Gravedad,Venta,Acopiador,Secano,Si,Si,0.8930951
3,1.1,50.92,25,51,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,AREQUIPA,Sierra,No especificado,Otro,Comerciante mayorista,Gravedad,Si,Si,0.90575945
2,4.79,0.0,23,73,False,False,True,False,False,False,False,Primaria incompleta,Hombre,LORETO,Sierra,Secano,Venta,Acopiador,Secano,Si,Si,0.89093083
4,1.6,97.96,30,42,False,True,True,True,False,False,False,Primaria incompleta,Hombre,TACNA,Costa,Secano,Venta,Comerciante mayorista,Gravedad,No,Si,0.90716213
2,2.43,89.55,20,73,False,False,False,False,False,False,False,Primaria incompleta,Hombre,LIMA,Selva,Secano,Autoconsumo,Sin ventas,Secano,Si,Si,0.8658218
2,3.18,86.52,15,61,False,False,False,False,False,False,False,Superior universitaria incompleta,Hombre,LAMBAYEQUE,Selva,Gravedad,Otro,Acopiador,Secano,Si,Si,0.8978109
1,3.5,99.86,40,55,False,False,True,False,False,False,False,Primaria completa,Hombre,HUANUCO,Selva,Gravedad,Venta,Consumidor final,Secano,Si,Si,0.9101462
3,31.73,100.0,14,48,False,False,True,False,False,False,False,Secundaria completa,Hombre,LAMBAYEQUE,Selva,Secano,Venta,Comerciante mayorista,Gravedad,Si,Si,0.9150245
9,8.5,85.1,30,50,False,True,True,False,False,False,True,Secundaria completa,Hombre,TACNA,Sierra,Gravedad,Venta,Comerciante minorista,Gravedad,Si,Si,0.9096651
4,8.5,99.43,30,63,False,False,True,False,False,False,False,Secundaria completa,Hombre,LIMA,Costa,Gravedad,Venta,Sin ventas,Gravedad,Si,Si,0.9185016
7,1.79,93.23,24,53,False,False,False,False,False,False,False,Superior universitaria completa,Hombre,AREQUIPA,Sierra,Secano,Venta,Sin ventas,Goteo,Si,Si,0.90071905
3,0.67,92.78,9,47,False,False,False,False,False,False,False,Primaria completa,Hombre,LORETO,Sierra,Gravedad,Autoconsumo,Comerciante mayorista,Gravedad,Si,Si,0.9045671
11,27.4,39.66,11,48,False,False,True,False,False,False,False,Secundaria completa,Hombre,AYACUCHO,Sierra,Gravedad,Otro,Acopiador,Otro,Si,Si,0.9085777
1,11.0,0.0,35,29,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,AREQUIPA,Costa,Secano,Otro,Consumidor final,Gravedad,Si,Si,0.9144761
10,21.0,100.0,30,65,False,False,True,False,False,False,False,Secundaria incompleta,Mujer,LAMBAYEQUE,Sierra,Secano,Autoconsumo,Sin ventas,Secano,No,Si,0.9065156
3,1.53,100.0,30,47,False,False,True,False,False,False,False,Secundaria completa,Mujer,AMAZONAS,Costa,Secano,Venta,Acopiador,Aspersion,Si,Si,0.9194709
1,2.0,99.48,10,43,False,False,True,False,False,False,False,Superior universitaria incompleta,Hombre,SAN MARTIN,Sierra,No especificado,Autoconsumo,Comerciante minorista,Gravedad,Si,Si,0.9103964
4,3.0,89.29,40,51,False,False,True,False,False,False,False,Secundaria completa,Mujer,JUNIN,Sierra,Secano,Autoconsumo,Acopiador,Gravedad,Si,Si,0.9078139
5,1.73,100.0,21,63,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,AMAZONAS,Sierra,Secano,Venta,Comerciante minorista,Gravedad,No,Si,0.911717
2,344.34,0.0,24,43,False,False,False,False,False,False,False,Secundaria completa,Hombre,AREQUIPA,Costa,Gravedad,Otro,Comerciante mayorista,Gravedad,Si,Si,0.8844835
2,21.15,100.0,40,73,False,False,True,False,False,False,False,Primaria incompleta,Hombre,CAJAMARCA,Costa,Gravedad,Autoconsumo,Acopiador,Gravedad,Si,Si,0.9129627
6,10.59,52.73,15,33,False,True,True,False,False,False,False,Primaria incompleta,Hombre,JUNIN,Sierra,Secano,Otro,Sin ventas,Gravedad,Si,Si,0.9095786
3,75.2,0.0,30,48,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,CUSCO,Costa,Secano,Venta,Comerciante minorista,Aspersion,Si,Si,0.9112956
3,2.11,0.0,23,60,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,HUANCAVELICA,Sierra,Gravedad,Autoconsumo,Comerciante mayorista,Gravedad,Si,Si,0.9031545
3,29.0,0.0,39,49,False,False,True,True,False,False,False,Secundaria completa,Hombre,LAMBAYEQUE,Costa,Secano,Venta,Acopiador,Aspersion,No,Si,0.9165128
8,4.54,99.24,30,29,False,False,False,False,False,False,False,Primaria incompleta,Hombre,AMAZONAS,Costa,Gravedad,Venta,Consumidor final,Aspersion,Si,Si,0.90626556
9,4.79,95.88,17,47,False,False,True,False,False,False,False,Secundaria completa,Hombre,LA LIBERTAD,Selva,Gravedad,Venta,Acopiador,Secano,Si,Si,0.91079146
8,5.22,88.21,5,50,False,False,True,False,False,False,False,Primaria incompleta,Mujer,AYACUCHO,Costa,Gravedad,Otro,Comerciante mayorista,Secano,Si,Si,0.9162209
1,20.0,84.49,30,37,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,SAN MARTIN,Selva,Otro,Venta,Sin ventas,Gravedad,Si,Si,0.91056556
9,5.0,0.0,10,44,False,False,True,False,False,False,False,Secundaria completa,Mujer,JUNIN,Costa,Gravedad,Otro,Acopiador,Gravedad,Si,Si,0.9135242
4,2.0,100.0,15,66,False,False,False,False,False,False,False,Secundaria completa,Hombre,JUNIN,Costa,Secano,Venta,Comerciante mayorista,Goteo,Si,Si,0.8840856
2,1.12,0.0,10,61,False,False,True,False,False,False,False,Superior universitaria incompleta,Hombre,SAN MARTIN,Sierra,Goteo,Venta,Comerciante minorista,Secano,Si,Si,0.9047796
1,13.6,93.97,25,59,False,False,True,False,False,False,False,Secundaria completa,Hombre,TACNA,Costa,Gravedad,Autoconsumo,Acopiador,Secano,Si,Si,0.90839815
1,23.46,96.55,15,41,False,False,True,False,False,False,False,Primaria completa,Hombre,AYACUCHO,Costa,Aspersion,Venta,Comerciante minorista,Aspersion,Si,Si,0.91736937
2,2.5,98.58,5,41,False,True,False,False,False,False,False,Secundaria completa,Hombre,SAN MARTIN,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad,Si,Si,0.8994463
7,10.6,77.75,30,63,False,True,True,False,False,False,True,Primaria completa,Mujer,SAN MARTIN,Selva,Secano,Otro,Acopiador,Secano,Si,Si,0.91048145
3,2.0,100.0,19,50,False,False,True,False,False,False,False,Secundaria incompleta,Mujer,APURIMAC,Sierra,Gravedad,Venta,Acopiador,Gravedad,Si,Si,0.91389763
2,3.92,94.15,30,34,False,False,True,True,False,False,False,Primaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Consumidor final,Goteo,Si,Si,0.91835266
1,3.8,0.0,15,44,False,False,True,False,False,False,False,Primaria incompleta,Hombre,PUNO,Costa,Gravedad,Venta,Comerciante mayorista,Secano,No,Si,0.9135242
2,105.0,99.88,35,51,False,True,False,False,False,False,False,Primaria completa,Hombre,JUNIN,Sierra,Aspersion,Autoconsumo,Consumidor final,Gravedad,Si,Si,0.8945874
2,3.03,100.0,8,54,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,LAMBAYEQUE,Selva,Goteo,Venta,Sin ventas,Gravedad,Si,Si,0.9147606
3,12.4,84.32,43,63,False,True,True,True,False,False,False,Primaria completa,Hombre,AYACUCHO,Costa,Secano,Venta,Acopiador,Secano,No,Si,0.9142078
6,3.96,0.0,13,39,False,False,False,False,False,False,False,Primaria incompleta,Hombre,HUANUCO,Costa,Secano,Venta,Comerciante mayorista,Secano,Si,Si,0.89983815
1,12.0,100.0,3,47,False,False,True,False,False,False,False,Primaria incompleta,Hombre,TUMBES,Selva,No especificado,Venta,Sin ventas,Secano,No,Si,0.91530544
1,4.5,100.0,20,43,False,False,False,False,False,False,False,Primaria incompleta,Hombre,AREQUIPA,Costa,Secano,Venta,Comerciante minorista,Gravedad,Si,Si,0.9000979
7,7.08,99.97,28,54,False,False,True,False,False,False,False,Primaria incompleta,Hombre,TACNA,Costa,Secano,Otro,Acopiador,Otro,Si,Si,0.9096393
2,1.1,98.71,40,37,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,TACNA,Costa,Gravedad,Venta,Acopiador,Secano,Si,Si,0.90839815
3,2.0,99.88,40,52,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,LIMA,Sierra,Gravedad,Otro,Acopiador,Secano,Si,Si,0.91114897
1,5.5,100.0,8,41,False,False,False,False,False,False,False,Superior universitaria completa,Hombre,AYACUCHO,Costa,Goteo,Venta,Sin ventas,Secano,Si,Si,0.90529495
3,12.7,80.18,30,43,False,True,True,False,False,False,False,Secundaria incompleta,Mujer,PIURA,Costa,Gravedad,Otro,Comerciante mayorista,Gravedad,Si,Si,0.91538835
2,5.0,92.02,20,45,False,False,True,False,False,False,False,Secundaria completa,Hombre,JUNIN,Sierra,Gravedad,Venta,Consumidor final,Aspersion,No,Si,0.90893996
7,5.78,0.0,23,56,False,False,True,False,False,False,False,Superior no universitaria completa,Hombre,AREQUIPA,Costa,Secano,Venta,Acopiador,No especificado,Si,Si,0.91193885
3,4.2,100.0,14,74,False,True,True,True,False,False,False,Secundaria incompleta,Hombre,APURIMAC,Costa,Gravedad,Venta,Acopiador,Gravedad,Si,Si,0.91533524
5,70.0,89.27,16,43,False,False,True,False,False,False,False,Superior universitaria completa,Mujer,PUNO,Sierra,Gravedad,Venta,Sin ventas,Secano,Si,Si,0.9114137
2,2.99,73.78,25,35,False,False,True,False,False,False,False,Secundaria incompleta,Mujer,PASCO,Costa,Goteo,Venta,Acopiador,Gravedad,Si,Si,0.9145356
3,0.6,100.0,35,50,False,True,True,False,False,False,False,Primaria incompleta,Hombre,HUANUCO,Costa,Goteo,Otro,Comerciante mayorista,Gravedad,Si,Si,0.9200208
1,0.8,55.0,20,65,False,False,True,False,False,False,False,Superior universitaria incompleta,Hombre,JUNIN,Sierra,Secano,Venta,Sin ventas,Secano,Si,Si,0.89614266
1,2.07,87.98,33,50,False,False,True,False,False,False,False,Secundaria incompleta,Mujer,LAMBAYEQUE,Sierra,Secano,Venta,Consumidor final,Goteo,Si,Si,0.9111779
1,6.5,0.0,25,53,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,ICA,Selva,Gravedad,Venta,Acopiador,Goteo,No,Si,0.90560186
1,6.0,99.75,30,73,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,AREQUIPA,Selva,Gravedad,Venta,Comerciante minorista,Secano,Si,Si,0.9026897
3,2.8,100.0,26,65,False,True,True,False,False,False,False,Secundaria completa,Hombre,APURIMAC,Selva,Gravedad,Autoconsumo,Acopiador,Gravedad,No,Si,0.9057616
1,2.5,100.0,17,39,False,False,True,False,False,False,False,Primaria incompleta,Hombre,AYACUCHO,Costa,No especificado,Venta,Sin ventas,Secano,Si,Si,0.9213505
1,20.0,100.0,20,71,False,False,True,False,False,False,False,Primaria incompleta,Hombre,JUNIN,Sierra,Goteo,Otro,Acopiador,Secano,Si,Si,0.9016565
1,4.04,100.0,30,57,False,False,True,False,False,False,False,Primaria incompleta,Hombre,TUMBES,Selva,Secano,Venta,Acopiador,No especificado,No,Si,0.91051316
2,3.63,100.0,6,41,False,False,False,True,False,False,False,Superior universitaria completa,Hombre,PUNO,Selva,Secano,Venta,Comerciante mayorista,Secano,Si,Si,0.9008424
3,2.4,0.0,14,63,False,False,False,False,False,False,False,Superior universitaria incompleta,Mujer,PASCO,Selva,No especificado,Autoconsumo,Comerciante minorista,Secano,Si,Si,0.89221454
1,4.87,100.0,5,40,False,False,True,False,False,False,False,Primaria completa,Hombre,ANCASH,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad,Si,Si,0.89927506
2,3.58,75.0,10,61,False,False,False,False,False,False,False,Superior universitaria completa,Hombre,LAMBAYEQUE,Sierra,Secano,Autoconsumo,Acopiador,Gravedad,No,Si,0.8943172
9,1.5,0.0,40,43,False,True,True,True,False,False,False,Secundaria completa,Hombre,AREQUIPA,Costa,Secano,Venta,Comerciante minorista,Gravedad,Si,Si,0.9128522
3,0.9,99.87,21,51,False,False,True,False,False,False,False,Secundaria completa,Hombre,TACNA,Selva,Secano,Venta,Comerciante minorista,Gravedad,No,Si,0.9091379
2,3.0,100.0,37,74,False,False,True,False,False,False,False,Secundaria completa,Hombre,CAJAMARCA,Costa,Gravedad,Venta,Acopiador,Aspersion,Si,Si,0.91533524
2,9.25,99.43,12,37,False,False,True,False,False,False,False,Secundaria completa,Mujer,LAMBAYEQUE,Sierra,Gravedad,Venta,Comerciante minorista,Gravedad,Si,Si,0.91516066
3,12.5,0.0,3,63,False,False,False,True,False,False,False,Secundaria completa,Hombre,CAJAMARCA,Sierra,Secano,Otro,Empresa/Agroindustria,Secano,Si,Si,0.8971061
11,4.4,99.68,2,53,False,False,True,False,False,True,False,Primaria completa,Mujer,LAMBAYEQUE,Selva,Secano,Otro,Sin ventas,Goteo,Si,Si,0.9121407
6,168.0,91.67,30,46,False,False,True,False,False,False,False,Primaria completa,Hombre,HUANCAVELICA,Sierra,Goteo,Autoconsumo,Comerciante mayorista,Secano,No,Si,0.9119692
2,3.3,97.65,7,55,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,PIURA,Selva,Secano,Autoconsumo,Comerciante minorista,Aspersion,Si,Si,0.90788895
2,0.1,99.29,33,46,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,PIURA,Sierra,Gravedad,Venta,Acopiador,Secano,Si,Si,0.9102812
4,21.04,94.31,13,62,False,False,True,True,False,False,False,Secundaria completa,Hombre,LIMA,Selva,Gravedad,Venta,Comerciante mayorista,Gravedad,No,Si,0.91162634
2,5.0,96.67,3,59,False,False,True,False,False,False,True,Secundaria incompleta,Hombre,LA LIBERTAD,Costa,Otro,Venta,Sin ventas,Secano,Si,Si,0.91759795
3,5.25,78.69,20,57,False,False,True,False,False,False,False,Secundaria completa,Hombre,AYACUCHO,Sierra,Gravedad,Venta,Acopiador,Gravedad,Si,Si,0.9066816
2,15.0,0.0,53,75,False,False,True,False,False,False,False,Primaria completa,Hombre,JUNIN,Selva,Gravedad,Otro,Consumidor final,Goteo,Si,Si,0.88523537
1,2.4,94.08,17,62,False,False,True,False,False,False,False,Primaria completa,Hombre,LA LIBERTAD,Costa,Gravedad,Venta,Acopiador,Secano,Si,Si,0.91835266
18,0.74,100.0,20,53,False,False,True,False,False,False,True,Secundaria completa,Mujer,AMAZONAS,Costa,Gravedad,Otro,Comerciante mayorista,Gravedad,Si,Si,0.9216718
3,3.41,100.0,14,54,False,False,False,False,False,False,False,Primaria incompleta,Hombre,AYACUCHO,Costa,Gravedad,Venta,Comerciante mayorista,No especificado,Si,Si,0.90766245
1,2.0,0.0,2,56,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,LA LIBERTAD,Costa,Gravedad,Venta,Comerciante mayorista,Secano,Si,Si,0.91306126
2,19.8,66.67,40,55,False,True,True,False,False,False,False,Superior universitaria completa,Hombre,TACNA,Sierra,Secano,Venta,Sin ventas,Gravedad,Si,Si,0.90687555
1,3.8,100.0,25,52,False,True,True,False,False,False,False,Superior no universitaria completa,Hombre,LAMBAYEQUE,Selva,Gravedad,Venta,Sin ventas,Gravedad,No,Si,0.91510636
5,5.5,100.0,24,26,False,False,True,False,False,False,False,Primaria incompleta,Hombre,TACNA,Sierra,Secano,Otro,Sin ventas,Gravedad,Si,Si,0.9120033
2,3.38,98.86,33,51,False,False,False,False,False,False,False,Primaria incompleta,Hombre,TUMBES,Selva,Gravedad,Venta,Sin ventas,Gravedad,Si,Si,0.8979074
4,1.2,95.42,15,40,False,False,False,False,False,True,False,Secundaria incompleta,Hombre,LA LIBERTAD,Selva,Secano,Venta,Acopiador,Gravedad,Si,Si,0.90413815
5,3.1,0.0,10,62,False,False,True,False,False,False,False,Primaria completa,Mujer,APURIMAC,Costa,Goteo,Venta,Acopiador,Gravedad,Si,Si,0.9127643
13,5.0,70.83,11,46,False,False,True,False,False,False,False,Secundaria completa,Hombre,JUNIN,Costa,Secano,Autoconsumo,Comerciante minorista,Gravedad,Si,Si,0.9128522
3,15.0,92.07,45,56,False,False,True,False,False,False,True,Secundaria completa,Hombre,UCAYALI,Selva,Aspersion,Otro,Empresa/Agroindustria,Secano,Si,Si,0.89572847
5,3.0,99.75,20,56,False,False,True,False,False,False,True,Secundaria completa,Hombre,AMAZONAS,Costa,Secano,Autoconsumo,Sin ventas,Gravedad,Si,Si,0.91832745
2,31.0,0.0,30,56,False,False,True,False,False,False,False,Primaria completa,Hombre,CUSCO,Costa,Secano,Autoconsumo,Acopiador,Gravedad,No,Si,0.91193885
21,20.79,66.67,42,41,False,False,True,False,False,False,False,Primaria incompleta,Mujer,PIURA,Selva,Gravedad,Venta,Sin ventas,Secano,Si,Si,0.9085777
2,3.0,0.0,18,60,False,False,True,False,False,False,True,Superior no universitaria completa,Hombre,JUNIN,Costa,Secano,Venta,Comerciante mayorista,Goteo,Si,Si,0.91260374
1,22.0,82.86,31,51,False,False,True,False,False,False,False,Primaria completa,Mujer,LA LIBERTAD,Sierra,Gravedad,Venta,Acopiador,Secano,Si,Si,0.9100265
4,16.25,0.0,8,49,False,False,True,False,False,False,False,Sin nivel,Hombre,AREQUIPA,Costa,No especificado,Venta,Sin ventas,Gravedad,Si,Si,0.9136699
2,20.0,95.94,26,64,False,False,True,True,False,False,False,Secundaria incompleta,Hombre,MOQUEGUA,Costa,Mangas,Venta,Consumidor final,Mangas,No,Si,0.91759795
1,1.5,94.79,17,32,False,False,True,False,False,False,False,Primaria completa,Mujer,AREQUIPA,Selva,Gravedad,Venta,Comerciante minorista,Secano,Si,Si,0.90957636
8,44.7,100.0,22,43,False,False,False,False,False,False,False,Secundaria completa,Mujer,AYACUCHO,Costa,No especificado,Venta,Acopiador,Gravedad,No,Si,0.90095925
1,1.0,97.86,10,59,False,False,False,False,False,False,False,Primaria incompleta,Hombre,JUNIN,Costa,Secano,Venta,Comerciante mayorista,Otro,Si,Si,0.8997233
9,2.97,94.83,23,64,False,False,True,False,False,False,False,Superior no universitaria completa,Hombre,LAMBAYEQUE,Sierra,Gravedad,Otro,Acopiador,Otro,Si,Si,0.9145305
3,4.5,45.9,23,59,False,False,True,False,False,False,False,Secundaria completa,Hombre,TUMBES,Selva,Secano,Autoconsumo,Comerciante minorista,Gravedad,Si,Si,0.90388656
