numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
6,11.0,99.97,18,61,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,PUNO,Sierra,Aspersion,Autoconsumo,Consumidor final,Gravedad
3,2.05,100.0,25,50,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,MOQUEGUA,Sierra,Secano,Venta,Comerciante minorista,Gravedad
4,2.07,0.0,18,50,False,True,True,False,False,False,False,Secundaria completa,Hombre,JUNIN,Selva,Gravedad,Autoconsumo,Acopiador,Goteo
6,4.7,97.15,40,56,False,False,True,False,False,False,False,Secundaria completa,Hombre,AMAZONAS,Sierra,Gravedad,Venta,Acopiador,Otro
2,1.0,90.24,20,61,False,False,True,False,False,False,False,Superior no universitaria completa,Hombre,JUNIN,Selva,Secano,Venta,Comerciante mayorista,Secano
2,25.0,0.0,5,39,False,False,True,False,False,False,True,Primaria completa,Hombre,AYACUCHO,Sierra,Secano,Autoconsumo,Sin ventas,Secano
2,6.68,35.21,19,52,False,False,True,False,False,False,True,Primaria incompleta,Hombre,AYACUCHO,Sierra,Goteo,Venta,Comerciante mayorista,No especificado
13,13.0,0.0,10,48,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,LAMBAYEQUE,Costa,Secano,Venta,Acopiador,Gravedad
1,88.0,100.0,16,44,False,False,False,False,False,False,False,Superior universitaria completa,Mujer,LA LIBERTAD,Costa,Gravedad,Venta,Acopiador,Secano
7,9.15,81.94,31,62,False,False,True,False,False,False,False,Primaria incompleta,Hombre,PUNO,Costa,No especificado,Venta,Acopiador,Secano
2,3.35,92.31,13,52,False,False,True,False,False,False,False,Primaria incompleta,Mujer,AREQUIPA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
9,7.0,91.99,16,40,False,False,True,False,True,False,True,Secundaria completa,Hombre,MOQUEGUA,Selva,Secano,Venta,Comerciante mayorista,Secano
4,10.7,99.67,23,34,False,False,True,False,False,False,False,Primaria completa,Hombre,ANCASH,Selva,Secano,Venta,Sin ventas,Gravedad
2,0.21,0.0,10,64,False,False,True,True,False,False,False,Secundaria incompleta,Hombre,PIURA,Selva,Secano,Autoconsumo,Acopiador,Goteo
3,200.0,0.0,18,51,False,False,False,False,False,False,False,Primaria completa,Mujer,AMAZONAS,Sierra,Gravedad,Venta,Acopiador,Secano
3,1.1,50.92,25,51,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,AREQUIPA,Sierra,No especificado,Otro,Comerciante mayorista,Gravedad
2,4.79,0.0,23,73,False,False,True,False,False,False,False,Primaria incompleta,Hombre,LORETO,Sierra,Secano,Venta,Acopiador,Secano
4,1.6,97.96,30,42,False,True,True,True,False,False,False,Primaria incompleta,Hombre,TACNA,Costa,Secano,Venta,Comerciante mayorista,Gravedad
2,2.43,89.55,20,73,False,False,False,False,False,False,False,Primaria incompleta,Hombre,LIMA,Selva,Secano,Autoconsumo,Sin ventas,Secano
2,3.18,86.52,15,61,False,False,False,False,False,False,False,Superior universitaria incompleta,Hombre,LAMBAYEQUE,Selva,Gravedad,Otro,Acopiador,Secano
1,3.5,99.86,40,55,False,False,True,False,False,False,False,Primaria completa,Hombre,HUANUCO,Selva,Gravedad,Venta,Consumidor final,Secano
3,31.73,100.0,14,48,False,False,True,False,False,False,False,Secundaria completa,Hombre,LAMBAYEQUE,Selva,Secano,Venta,Comerciante mayorista,Gravedad
9,8.5,85.1,30,50,False,True,True,False,False,False,True,Secundaria completa,Hombre,TACNA,Sierra,Gravedad,Venta,Comerciante minorista,Gravedad
4,8.5,99.43,30,63,False,False,True,False,False,False,False,Secundaria completa,Hombre,LIMA,Costa,Gravedad,Venta,Sin ventas,Gravedad
7,1.79,93.23,24,53,False,False,False,False,False,False,False,Superior universitaria completa,Hombre,AREQUIPA,Sierra,Secano,Venta,Sin ventas,Goteo
3,0.67,92.78,9,47,False,False,False,False,False,False,False,Primaria completa,Hombre,LORETO,Sierra,Gravedad,Autoconsumo,Comerciante mayorista,Gravedad
11,27.4,39.66,11,48,False,False,True,False,False,False,False,Secundaria completa,Hombre,AYACUCHO,Sierra,Gravedad,Otro,Acopiador,Otro
1,11.0,0.0,35,29,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,AREQUIPA,Costa,Secano,Otro,Consumidor final,Gravedad
10,21.0,100.0,30,65,False,False,True,False,False,False,False,Secundaria incompleta,Mujer,LAMBAYEQUE,Sierra,Secano,Autoconsumo,Sin ventas,Secano
3,1.53,100.0,30,47,False,False,True,False,False,False,False,Secundaria completa,Mujer,AMAZONAS,Costa,Secano,Venta,Acopiador,Aspersion
1,2.0,99.48,10,43,False,False,True,False,False,False,False,Superior universitaria incompleta,Hombre,SAN MARTIN,Sierra,No especificado,Autoconsumo,Comerciante minorista,Gravedad
4,3.0,89.29,40,51,False,False,True,False,False,False,False,Secundaria completa,Mujer,JUNIN,Sierra,Secano,Autoconsumo,Acopiador,Gravedad
5,1.73,100.0,21,63,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,AMAZONAS,Sierra,Secano,Venta,Comerciante minorista,Gravedad
2,344.34,0.0,24,43,False,False,False,False,False,False,False,Secundaria completa,Hombre,AREQUIPA,Costa,Gravedad,Otro,Comerciante mayorista,Gravedad
2,21.15,100.0,40,73,False,False,True,False,False,False,False,Primaria incompleta,Hombre,CAJAMARCA,Costa,Gravedad,Autoconsumo,Acopiador,Gravedad
6,10.59,52.73,15,33,False,True,True,False,False,False,False,Primaria incompleta,Hombre,JUNIN,Sierra,Secano,Otro,Sin ventas,Gravedad
3,75.2,0.0,30,48,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,CUSCO,Costa,Secano,Venta,Comerciante minorista,Aspersion
3,2.11,0.0,23,60,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,HUANCAVELICA,Sierra,Gravedad,Autoconsumo,Comerciante mayorista,Gravedad
3,29.0,0.0,39,49,False,False,True,True,False,False,False,Secundaria completa,Hombre,LAMBAYEQUE,Costa,Secano,Venta,Acopiador,Aspersion
8,4.54,99.24,30,29,False,False,False,False,False,False,False,Primaria incompleta,Hombre,AMAZONAS,Costa,Gravedad,Venta,Consumidor final,Aspersion
9,4.79,95.88,17,47,False,False,True,False,False,False,False,Secundaria completa,Hombre,LA LIBERTAD,Selva,Gravedad,Venta,Acopiador,Secano
8,5.22,88.21,5,50,False,False,True,False,False,False,False,Primaria incompleta,Mujer,AYACUCHO,Costa,Gravedad,Otro,Comerciante mayorista,Secano
1,20.0,84.49,30,37,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,SAN MARTIN,Selva,Otro,Venta,Sin ventas,Gravedad
9,5.0,0.0,10,44,False,False,True,False,False,False,False,Secundaria completa,Mujer,JUNIN,Costa,Gravedad,Otro,Acopiador,Gravedad
4,2.0,100.0,15,66,False,False,False,False,False,False,False,Secundaria completa,Hombre,JUNIN,Costa,Secano,Venta,Comerciante mayorista,Goteo
2,1.12,0.0,10,61,False,False,True,False,False,False,False,Superior universitaria incompleta,Hombre,SAN MARTIN,Sierra,Goteo,Venta,Comerciante minorista,Secano
1,13.6,93.97,25,59,False,False,True,False,False,False,False,Secundaria completa,Hombre,TACNA,Costa,Gravedad,Autoconsumo,Acopiador,Secano
1,23.46,96.55,15,41,False,False,True,False,False,False,False,Primaria completa,Hombre,AYACUCHO,Costa,Aspersion,Venta,Comerciante minorista,Aspersion
2,2.5,98.58,5,41,False,True,False,False,False,False,False,Secundaria completa,Hombre,SAN MARTIN,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
7,10.6,77.75,30,63,False,True,True,False,False,False,True,Primaria completa,Mujer,SAN MARTIN,Selva,Secano,Otro,Acopiador,Secano
3,2.0,100.0,19,50,False,False,True,False,False,False,False,Secundaria incompleta,Mujer,APURIMAC,Sierra,Gravedad,Venta,Acopiador,Gravedad
2,3.92,94.15,30,34,False,False,True,True,False,False,False,Primaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Consumidor final,Goteo
1,3.8,0.0,15,44,False,False,True,False,False,False,False,Primaria incompleta,Hombre,PUNO,Costa,Gravedad,Venta,Comerciante mayorista,Secano
2,105.0,99.88,35,51,False,True,False,False,False,False,False,Primaria completa,Hombre,JUNIN,Sierra,Aspersion,Autoconsumo,Consumidor final,Gravedad
2,3.03,100.0,8,54,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,LAMBAYEQUE,Selva,Goteo,Venta,Sin ventas,Gravedad
3,12.4,84.32,43,63,False,True,True,True,False,False,False,Primaria completa,Hombre,AYACUCHO,Costa,Secano,Venta,Acopiador,Secano
6,3.96,0.0,13,39,False,False,False,False,False,False,False,Primaria incompleta,Hombre,HUANUCO,Costa,Secano,Venta,Comerciante mayorista,Secano
1,12.0,100.0,3,47,False,False,True,False,False,False,False,Primaria incompleta,Hombre,TUMBES,Selva,No especificado,Venta,Sin ventas,Secano
1,4.5,100.0,20,43,False,False,False,False,False,False,False,Primaria incompleta,Hombre,AREQUIPA,Costa,Secano,Venta,Comerciante minorista,Gravedad
7,7.08,99.97,28,54,False,False,True,False,False,False,False,Primaria incompleta,Hombre,TACNA,Costa,Secano,Otro,Acopiador,Otro
2,1.1,98.71,40,37,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,TACNA,Costa,Gravedad,Venta,Acopiador,Secano
3,2.0,99.88,40,52,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,LIMA,Sierra,Gravedad,Otro,Acopiador,Secano
1,5.5,100.0,8,41,False,False,False,False,False,False,False,Superior universitaria completa,Hombre,AYACUCHO,Costa,Goteo,Venta,Sin ventas,Secano
3,12.7,80.18,30,43,False,True,True,False,False,False,False,Secundaria incompleta,Mujer,PIURA,Costa,Gravedad,Otro,Comerciante mayorista,Gravedad
2,5.0,92.02,20,45,False,False,True,False,False,False,False,Secundaria completa,Hombre,JUNIN,Sierra,Gravedad,Venta,Consumidor final,Aspersion
7,5.78,0.0,23,56,False,False,True,False,False,False,False,Superior no universitaria completa,Hombre,AREQUIPA,Costa,Secano,Venta,Acopiador,No especificado
3,4.2,100.0,14,74,False,True,True,True,False,False,False,Secundaria incompleta,Hombre,APURIMAC,Costa,Gravedad,Venta,Acopiador,Gravedad
5,70.0,89.27,16,43,False,False,True,False,False,False,False,Superior universitaria completa,Mujer,PUNO,Sierra,Gravedad,Venta,Sin ventas,Secano
2,2.99,73.78,25,35,False,False,True,False,False,False,False,Secundaria incompleta,Mujer,PASCO,Costa,Goteo,Venta,Acopiador,Gravedad
3,0.6,100.0,35,50,False,True,True,False,False,False,False,Primaria incompleta,Hombre,HUANUCO,Costa,Goteo,Otro,Comerciante mayorista,Gravedad
1,0.8,55.0,20,65,False,False,True,False,False,False,False,Superior universitaria incompleta,Hombre,JUNIN,Sierra,Secano,Venta,Sin ventas,Secano
1,2.07,87.98,33,50,False,False,True,False,False,False,False,Secundaria incompleta,Mujer,LAMBAYEQUE,Sierra,Secano,Venta,Consumidor final,Goteo
1,6.5,0.0,25,53,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,ICA,Selva,Gravedad,Venta,Acopiador,Goteo
1,6.0,99.75,30,73,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,AREQUIPA,Selva,Gravedad,Venta,Comerciante minorista,Secano
3,2.8,100.0,26,65,False,True,True,False,False,False,False,Secundaria completa,Hombre,APURIMAC,Selva,Gravedad,Autoconsumo,Acopiador,Gravedad
1,2.5,100.0,17,39,False,False,True,False,False,False,False,Primaria incompleta,Hombre,AYACUCHO,Costa,No especificado,Venta,Sin ventas,Secano
1,20.0,100.0,20,71,False,False,True,False,False,False,False,Primaria incompleta,Hombre,JUNIN,Sierra,Goteo,Otro,Acopiador,Secano
1,4.04,100.0,30,57,False,False,True,False,False,False,False,Primaria incompleta,Hombre,TUMBES,Selva,Secano,Venta,Acopiador,No especificado
2,3.63,100.0,6,41,False,False,False,True,False,False,False,Superior universitaria completa,Hombre,PUNO,Selva,Secano,Venta,Comerciante mayorista,Secano
3,2.4,0.0,14,63,False,False,False,False,False,False,False,Superior universitaria incompleta,Mujer,PASCO,Selva,No especificado,Autoconsumo,Comerciante minorista,Secano
1,4.87,100.0,5,40,False,False,True,False,False,False,False,Primaria completa,Hombre,ANCASH,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
2,3.58,75.0,10,61,False,False,False,False,False,False,False,Superior universitaria completa,Hombre,LAMBAYEQUE,Sierra,Secano,Autoconsumo,Acopiador,Gravedad
9,1.5,0.0,40,43,False,True,True,True,False,False,False,Secundaria completa,Hombre,AREQUIPA,Costa,Secano,Venta,Comerciante minorista,Gravedad
3,0.9,99.87,21,51,False,False,True,False,False,False,False,Secundaria completa,Hombre,TACNA,Selva,Secano,Venta,Comerciante minorista,Gravedad
2,3.0,100.0,37,74,False,False,True,False,False,False,False,Secundaria completa,Hombre,CAJAMARCA,Costa,Gravedad,Venta,Acopiador,Aspersion
2,9.25,99.43,12,37,False,False,True,False,False,False,False,Secundaria completa,Mujer,LAMBAYEQUE,Sierra,Gravedad,Venta,Comerciante minorista,Gravedad
3,12.5,0.0,3,63,False,False,False,True,False,False,False,Secundaria completa,Hombre,CAJAMARCA,Sierra,Secano,Otro,Empresa/Agroindustria,Secano
11,4.4,99.68,2,53,False,False,True,False,False,True,False,Primaria completa,Mujer,LAMBAYEQUE,Selva,Secano,Otro,Sin ventas,Goteo
6,168.0,91.67,30,46,False,False,True,False,False,False,False,Primaria completa,Hombre,HUANCAVELICA,Sierra,Goteo,Autoconsumo,Comerciante mayorista,Secano
2,3.3,97.65,7,55,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,PIURA,Selva,Secano,Autoconsumo,Comerciante minorista,Aspersion
2,0.1,99.29,33,46,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,PIURA,Sierra,Gravedad,Venta,Acopiador,Secano
4,21.04,94.31,13,62,False,False,True,True,False,False,False,Secundaria completa,Hombre,LIMA,Selva,Gravedad,Venta,Comerciante mayorista,Gravedad
2,5.0,96.67,3,59,False,False,True,False,False,False,True,Secundaria incompleta,Hombre,LA LIBERTAD,Costa,Otro,Venta,Sin ventas,Secano
3,5.25,78.69,20,57,False,False,True,False,False,False,False,Secundaria completa,Hombre,AYACUCHO,Sierra,Gravedad,Venta,Acopiador,Gravedad
2,15.0,0.0,53,75,False,False,True,False,False,False,False,Primaria completa,Hombre,JUNIN,Selva,Gravedad,Otro,Consumidor final,Goteo
1,2.4,94.08,17,62,False,False,True,False,False,False,False,Primaria completa,Hombre,LA LIBERTAD,Costa,Gravedad,Venta,Acopiador,Secano
18,0.74,100.0,20,53,False,False,True,False,False,False,True,Secundaria completa,Mujer,AMAZONAS,Costa,Gravedad,Otro,Comerciante mayorista,Gravedad
3,3.41,100.0,14,54,False,False,False,False,False,False,False,Primaria incompleta,Hombre,AYACUCHO,Costa,Gravedad,Venta,Comerciante mayorista,No especificado
1,2.0,0.0,2,56,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,LA LIBERTAD,Costa,Gravedad,Venta,Comerciante mayorista,Secano
2,19.8,66.67,40,55,False,True,True,False,False,False,False,Superior universitaria completa,Hombre,TACNA,Sierra,Secano,Venta,Sin ventas,Gravedad
1,3.8,100.0,25,52,False,True,True,False,False,False,False,Superior no universitaria completa,Hombre,LAMBAYEQUE,Selva,Gravedad,Venta,Sin ventas,Gravedad
5,5.5,100.0,24,26,False,False,True,False,False,False,False,Primaria incompleta,Hombre,TACNA,Sierra,Secano,Otro,Sin ventas,Gravedad
2,3.38,98.86,33,51,False,False,False,False,False,False,False,Primaria incompleta,Hombre,TUMBES,Selva,Gravedad,Venta,Sin ventas,Gravedad
4,1.2,95.42,15,40,False,False,False,False,False,True,False,Secundaria incompleta,Hombre,LA LIBERTAD,Selva,Secano,Venta,Acopiador,Gravedad
5,3.1,0.0,10,62,False,False,True,False,False,False,False,Primaria completa,Mujer,APURIMAC,Costa,Goteo,Venta,Acopiador,Gravedad
13,5.0,70.83,11,46,False,False,True,False,False,False,False,Secundaria completa,Hombre,JUNIN,Costa,Secano,Autoconsumo,Comerciante minorista,Gravedad
3,15.0,92.07,45,56,False,False,True,False,False,False,True,Secundaria completa,Hombre,UCAYALI,Selva,Aspersion,Otro,Empresa/Agroindustria,Secano
5,3.0,99.75,20,56,False,False,True,False,False,False,True,Secundaria completa,Hombre,AMAZONAS,Costa,Secano,Autoconsumo,Sin ventas,Gravedad
2,31.0,0.0,30,56,False,False,True,False,False,False,False,Primaria completa,Hombre,CUSCO,Costa,Secano,Autoconsumo,Acopiador,Gravedad
21,20.79,66.67,42,41,False,False,True,False,False,False,False,Primaria incompleta,Mujer,PIURA,Selva,Gravedad,Venta,Sin ventas,Secano
2,3.0,0.0,18,60,False,False,True,False,False,False,True,Superior no universitaria completa,Hombre,JUNIN,Costa,Secano,Venta,Comerciante mayorista,Goteo
1,22.0,82.86,31,51,False,False,True,False,False,False,False,Primaria completa,Mujer,LA LIBERTAD,Sierra,Gravedad,Venta,Acopiador,Secano
4,16.25,0.0,8,49,False,False,True,False,False,False,False,Sin nivel,Hombre,AREQUIPA,Costa,No especificado,Venta,Sin ventas,Gravedad
2,20.0,95.94,26,64,False,False,True,True,False,False,False,Secundaria incompleta,Hombre,MOQUEGUA,Costa,Mangas,Venta,Consumidor final,Mangas
1,1.5,94.79,17,32,False,False,True,False,False,False,False,Primaria completa,Mujer,AREQUIPA,Selva,Gravedad,Venta,Comerciante minorista,Secano
8,44.7,100.0,22,43,False,False,False,False,False,False,False,Secundaria completa,Mujer,AYACUCHO,Costa,No especificado,Venta,Acopiador,Gravedad
1,1.0,97.86,10,59,False,False,False,False,False,False,False,Primaria incompleta,Hombre,JUNIN,Costa,Secano,Venta,Comerciante mayorista,Otro
9,2.97,94.83,23,64,False,False,True,False,False,False,False,Superior no universitaria completa,Hombre,LAMBAYEQUE,Sierra,Gravedad,Otro,Acopiador,Otro
3,4.5,45.9,23,59,False,False,True,False,False,False,False,Secundaria completa,Hombre,TUMBES,Selva,Secano,Autoconsumo,Comerciante minorista,Gravedad
2,26.0,84.21,20,54,False,True,True,False,False,False,True,Secundaria incompleta,Hombre,AREQUIPA,Selva,Gravedad,Venta,Comerciante minorista,Secano
5,5.0,97.65,25,48,False,False,True,False,False,False,False,Primaria completa,Mujer,SAN MARTIN,Selva,Secano,Venta,Comerciante mayorista,Gravedad
5,16.5,95.47,32,52,False,True,True,False,False,False,False,Secundaria completa,Hombre,PUNO,Sierra,Secano,Venta,Sin ventas,Gravedad
1,1.78,99.85,10,32,False,False,True,False,False,False,False,Secundaria completa,Hombre,JUNIN,Selva,Secano,Autoconsumo,Acopiador,Gravedad
3,69.0,99.67,53,48,False,False,True,False,False,True,False,Secundaria completa,Mujer,AREQUIPA,Sierra,Gravedad,Venta,Comerciante mayorista,Aspersion
11,15.6,0.0,18,55,False,True,True,False,False,False,False,Secundaria completa,Hombre,AREQUIPA,Selva,Secano,Venta,Comerciante minorista,Secano
5,42.0,100.0,50,65,False,True,True,False,False,False,False,Primaria incompleta,Hombre,MADRE DE DIOS,Selva,Secano,Venta,Acopiador,Gravedad
2,114.0,62.58,23,28,False,False,True,False,False,False,False,Primaria completa,Hombre,UCAYALI,Sierra,Gravedad,Venta,Consumidor final,Gravedad
1,7.0,15.04,45,50,False,False,True,False,False,False,False,Primaria completa,Mujer,AYACUCHO,Sierra,Secano,Venta,Consumidor final,Gravedad
3,10.0,97.79,19,53,False,False,True,False,False,False,False,Primaria incompleta,Hombre,TACNA,Costa,Otro,Venta,Sin ventas,Gravedad
3,9.6,100.0,15,42,False,False,True,False,False,False,False,Secundaria completa,Hombre,LA LIBERTAD,Costa,Secano,Otro,Comerciante mayorista,Secano
4,26.4,0.0,32,35,False,False,False,False,False,False,False,Superior no universitaria completa,Hombre,UCAYALI,Selva,Secano,Venta,Comerciante mayorista,Goteo
1,1.3,100.0,35,64,False,True,True,True,False,False,False,Secundaria completa,Mujer,AYACUCHO,Selva,Secano,Otro,Comerciante minorista,Aspersion
1,1.0,0.0,43,68,False,False,True,True,False,False,True,Secundaria incompleta,Hombre,LIMA,Selva,Secano,Otro,Sin ventas,Goteo
1,14.2,100.0,20,37,False,True,True,False,False,False,False,Superior universitaria completa,Hombre,SAN MARTIN,Sierra,No especificado,Venta,Comerciante mayorista,Gravedad
3,3.5,38.1,30,38,False,False,False,False,False,False,True,Secundaria completa,Hombre,HUANUCO,Sierra,Secano,Venta,Acopiador,No especificado
2,32.0,0.0,18,58,False,False,True,False,False,False,False,Secundaria completa,Mujer,UCAYALI,Selva,Aspersion,Venta,Acopiador,Aspersion
1,6.6,0.77,36,66,False,False,True,False,False,False,True,Secundaria completa,Hombre,AREQUIPA,Costa,Gravedad,Venta,Comerciante mayorista,Aspersion
2,0.6,71.98,39,57,False,False,True,False,False,False,False,Superior no universitaria completa,Hombre,APURIMAC,Sierra,No especificado,Otro,Acopiador,Aspersion
4,3.6,29.3,23,54,False,False,True,False,False,False,False,Secundaria completa,Hombre,UCAYALI,Selva,Goteo,Autoconsumo,Acopiador,Secano
6,8.72,0.0,38,51,False,False,True,False,False,False,False,Primaria completa,Hombre,AREQUIPA,Selva,Gravedad,Venta,Comerciante mayorista,Gravedad
1,6.0,100.0,19,63,False,False,True,False,False,False,False,Primaria incompleta,Hombre,HUANCAVELICA,Sierra,Secano,Venta,Comerciante minorista,Secano
2,0.66,99.5,30,46,False,False,True,False,False,False,False,Primaria incompleta,Hombre,AREQUIPA,Selva,Gravedad,Venta,Comerciante minorista,Gravedad
2,1.5,0.0,35,57,False,False,True,False,False,False,False,Primaria incompleta,Hombre,PUNO,Sierra,Secano,Venta,Comerciante mayorista,Secano
3,80.0,97.52,35,64,False,False,True,False,False,False,False,Secundaria completa,Hombre,ANCASH,Costa,Secano,Venta,Comerciante mayorista,Gravedad
